cnid	path	type	creator	data_len	data_ab	rsrc_len	rsrc_ab	created	modified	data_lba	data_extents	rsrc_extents
2912	Clic!/img/clic297/297co000.jpg	TEXT	LMAN	19402	49405	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:50	247168.0000	49405+2	
2935	Clic!/img/clic297/297co001.jpg	TEXT	LMAN	18719	49403	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:50	247158.0000	49403+2	
2922	Clic!/img/clic297/297co002.jpg	TEXT	LMAN	20944	49445	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:50	247368.0000	49445+3	
2910	Clic!/img/clic297/297co003.jpg	TEXT	LMAN	16798	49443	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:50	247358.0000	49443+2	
2934	Clic!/img/clic297/297co004.jpg	TEXT	LMAN	21727	49440	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:50	247343.0000	49440+3	
2906	Clic!/img/clic297/297ge001.jpg	TEXT	LMAN	22213	49411	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:50	247198.0000	49411+3	
2930	Clic!/img/clic297/297ge002.jpg	TEXT	LMAN	15622	49409	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:52	247188.0000	49409+2	
2917	Clic!/img/clic297/297ge003.jpg	TEXT	LMAN	12609	49481	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:52	247548.0000	49481+2	
2904	Clic!/img/clic297/297ge004.jpg	TEXT	LMAN	15283	49479	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:52	247538.0000	49479+2	
2928	Clic!/img/clic297/297ge005.jpg	TEXT	LMAN	17221	49477	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:52	247528.0000	49477+2	
2902	Clic!/img/clic297/297ge007.jpg	TEXT	LMAN	20354	49416	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:52	247223.0000	49416+2	
2926	Clic!/img/clic297/297ge008.jpg	TEXT	LMAN	19738	49414	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:52	247213.0000	49414+2	
2918	Clic!/img/clic297/297gi001.jpg	TEXT	LMAN	17680	49452	0	-1	1997-02-11 15:59:57	1997-02-10 12:07:54	247403.0000	49452+2	
2905	Clic!/img/clic297/297gi002.jpg	TEXT	LMAN	20089	49450	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:54	247393.0000	49450+2	
2929	Clic!/img/clic297/297gi003.jpg	TEXT	LMAN	19605	49448	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:54	247383.0000	49448+2	
2916	Clic!/img/clic297/297gi004.jpg	TEXT	LMAN	15360	49420	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:54	247243.0000	49420+2	
2903	Clic!/img/clic297/297gi005.jpg	TEXT	LMAN	17650	49418	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:54	247233.0000	49418+2	
2927	Clic!/img/clic297/297gi006.jpg	TEXT	LMAN	13548	49475	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:54	247518.0000	49475+2	
2915	Clic!/img/clic297/297gi007.jpg	TEXT	LMAN	15701	49473	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:56	247508.0000	49473+2	
2914	Clic!/img/clic297/297mu001.jpg	TEXT	LMAN	15220	49471	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:56	247498.0000	49471+2	
2901	Clic!/img/clic297/297mu002.jpg	TEXT	LMAN	16803	49469	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:56	247488.0000	49469+2	
2923	Clic!/img/clic297/297st001.jpg	TEXT	LMAN	15116	49438	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:56	247333.0000	49438+2	
2933	Clic!/img/clic297/297ut001.jpg	TEXT	LMAN	14252	49436	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:56	247323.0000	49436+2	
2921	Clic!/img/clic297/297ut002.jpg	TEXT	LMAN	18713	49430	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:56	247293.0000	49430+2	
2909	Clic!/img/clic297/297ut003.jpg	TEXT	LMAN	18957	49428	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:58	247283.0000	49428+2	
2932	Clic!/img/clic297/297ut004.jpg	TEXT	LMAN	26425	49459	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:58	247438.0000	49459+3	
2920	Clic!/img/clic297/297ut005.jpg	TEXT	LMAN	15934	49457	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:58	247428.0000	49457+2	
2908	Clic!/img/clic297/297ut006.jpg	TEXT	LMAN	4381	49456	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:58	247423.0000	49456+1	
2931	Clic!/img/clic297/297ut007.jpg	TEXT	LMAN	15312	49454	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:58	247413.0000	49454+2	
2919	Clic!/img/clic297/297ut008.jpg	TEXT	LMAN	20647	49425	0	-1	1997-02-11 15:59:58	1997-02-10 12:07:58	247268.0000	49425+3	
